listing_id,update_time,YEAR,listing_name,location_address,COUNTY,STATE,orgnization,orgnization_1,orgnization_2,orgnization_3,orgnization_4,orgnization_888,orgnization_1_desc,orgnization_2_desc,orgnization_3_desc,orgnization_4_desc,orgnization_other_desc,listing_desc,location_x,location_y,location_desc,location_site,location_site_otherdesc,location_indoor,specialproductionmethods,specialproductionmethods_1,specialproductionmethods_2,specialproductionmethods_3,specialproductionmethods_4,specialproductionmethods_5,specialproductionmethods_6,specialproductionmethods_7,specialproductionmethods_8,specialproductionmethods_9,specialproductionmethods_10,specialproductionmethods_11,specialproductionmethods_12,specialproductionmethods_13,specialproductionmethods_14,specialproductionmethods_888,specialproductionmethods_other_desc,saleschannel_onlineorder,saleschannel_onlineorder_1,saleschannel_onlineorder_2,saleschannel_onlineorder_3,saleschannel_onlineorder_2_desc,saleschannel_onlineorder_3_desc,saleschannel_onlineorder_other_desc,saleschannel_phoneorder,saleschannel_csaorder,saleschannel_csaorder_1,saleschannel_csaorder_2,saleschannel_csaorder_3,saleschannel_csaorder_1_desc,saleschannel_csaorder_2_desc,saleschannel_csaorder_3_desc,saleschannel_csa_vendor,saleschannel_csa_vendor_1,saleschannel_csa_vendor_2,saleschannel_deliverymethod,saleschannel_deliverymethod_1,saleschannel_deliverymethod_2,saleschannel_deliverymethod_3,saleschannel_deliverymethod_2_desc,acceptedpayment,acceptedpayment_1,acceptedpayment_2,acceptedpayment_3,acceptedpayment_4,acceptedpayment_5,acceptedpayment_6,acceptedpayment_7,acceptedpayment_888,acceptedpayment_7_desc,acceptedpayment_other_desc,FNAP,FNAP_1,FNAP_2,FNAP_3,FNAP_4,FNAP_5,FNAP_888,SNAP_option,SNAP_option_1,SNAP_option_2,FNAP_3_desc,webscriping,bulktable_id,bulktable_row_id
300018,8/3/2020,2020,Market in The Park - Lavretta Park,"200 Parkway Street West, Mobile, Alabama 36606",Mobile County,Alabama,,,,,,,,,,,,,-88.160082,30.691614,Lavretta Park is located in the Springhill area just off of Old Shell Road.,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,Senior Farmers Market Nutrition Program;,0,0,0,0,1,0,,0,0,,,,
300019,9/10/2020,2020,26th Annual Highlands Business Partnership's Farmers Market,"71 Waterwitch Avenue, Highlands, New Jersey 07732",Monmouth County,New Jersey,,,,,,,,,,,,,-73.994358,40.404837,Huddy Park on the corner of Waterwitch and Bay Avenues,Local government building grounds;,Huddy Park (public park),No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Some/all market vendors will accept EBT through individual POS;;,1,1,0,1,1,0,Some/all market vendors will accept EBT through individual POS;,0,1,,,,
300020,9/16/2020,2020,Texas Farmers' Market at Lakeline,"Lakeline Mall parking lot, behind Sears & Dillard's, Cedar Park, Texas 78613",Williamson County,Texas,,,,,,,,,,,,,-97.806683,30.469036,Located at the northwest corner of hwy.620 west and 183 north in the Lakeline Mall parking lot behind Sears and Dillard's.,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;SNAP;Accept EBT at a central location;Some/all market vendors will accept EBT through individual POS;;,1,1,0,0,0,0,Accept EBT at a central location;Some/all market vendors will accept EBT through individual POS;,1,1,,,,
300024,1/26/2021,2021,Forest farmers market,"15583 Forest Road, Forest, Virginia 24551",Bedford County,Virginia,,,,,,,,,,,,,-79.285443,37.36437,Behind the Library.,Local government building grounds;,Forest Library parking lot.,Entire time the market is open indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,SNAP;Accept EBT at a central location;;,0,1,0,0,0,0,Accept EBT at a central location;,1,0,,,,
300025,1/25/2021,2021,Oneida Farmers Market,"N7332 Water Circle Place, Oneida, Wisconsin 54155",Outagamie County,Wisconsin,,,,,,,,,,,,,-88.202341,44.503625,Located 6 miles west of Green Bay on Hwy 54,Closed-off public street;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,0,1,0,Accept EBT at a central location;,1,0,,,,
300026,1/27/2021,2021,North Myrtle Beach Farmers Market,"925 First Avenue South, North Myrtle Beach, South Carolina 29582",Horry County,South Carolina,,,,,,,,,,,,,-78.683173,33.827655,Across from North Myrtle Beach Library Complex,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;SNAP;Some/all market vendors will accept EBT through individual POS;;,1,1,0,1,0,0,Some/all market vendors will accept EBT through individual POS;,0,1,,,,
300028,1/25/2021,2021,ASU Regional Farmers' Market,"3300 Aggie Road, Jonesboro, Arkansas 72401",Craighead County,Arkansas,,,,,,,,,,,,,-90.667327,35.840771,On ASU Campus at the corner of Aggie Road and Red Wolf Blvd,Educational institution;,ASU Regional Farmers Market building,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;SNAP;Accept EBT at a central location;Some/all market vendors will accept EBT through individual POS;;,1,1,0,1,0,0,Accept EBT at a central location;Some/all market vendors will accept EBT through individual POS;,1,1,,,,
300030,1/4/2021,2021,OHSU Farmers Market,"Mailcode L338, 3181 SW Sam Jackson Park Rd, Portland, Oregon 97239",Multnomah County,Oregon,,,,,,,,,,,,,-122.6877,45.499865,"Courtyard in front of the OHSU Auditorium & MacKenzie Hall, around the OHSU Fountain.",Healthcare institution;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,1,1,0,Accept EBT at a central location;,1,0,,,,
300031,1/25/2021,2021,Shelby County Farmers Market,"Hwys 44 and 59, Harlan, Iowa 51537",Shelby County,Iowa,,,,,,,,,,,,,-95.338882,41.645926,"SE corner of Hwys 44 and 59, in old Shopko parking lot",,Parking lot,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Some/all market vendors will accept EBT through individual POS;;,1,1,0,1,1,0,Some/all market vendors will accept EBT through individual POS;,0,1,,,,
300033,1/26/2021,2021,Collinsville Farmers Market,"Main St. and Route 179, Collinsville, Connecticut 06019",Hartford County,Connecticut,,,,,,,,,,,,,-72.923264,41.810819,Town Hall Parking Lot,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;SNAP;Some/all market vendors will accept EBT through individual POS;;,1,1,0,1,0,0,Some/all market vendors will accept EBT through individual POS;,0,1,,,,
300035,9/10/2020,2020,Butte Farmers Market,"Uptown Butte, Butte, Montana 59701",Silver Bow County,Montana,,,,,,,,,,,,,-112.5364,46.01269,West Park Street between Park and Main and Dakota Street.,Closed-off public street;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;Senior Farmers Market Nutrition Program;SNAP;Some/all market vendors will accept EBT through individual POS;;,1,1,0,0,1,0,Some/all market vendors will accept EBT through individual POS;,0,1,,,,
300036,1/28/2021,2021,Boulder Farmers and Artisan's Market,"304 N. Main Street, Boulder, Montana 59632",Jefferson County,Montana,,,,,,,,,,,,,-112.11759,46.239153,Veteran's Park on HWY 69/Main Street next to City Hall,,Veteran's Park next to Boulder City Office,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,,0,0,,,,
300037,1/27/2021,2021,Benica Certified Farmers Market,"First Street between B & D Streets, Benicia, California 94510",Solano County,California,,,,,,,,,,,,,-122.16118,38.046215,First Street Between B And D Streets,Closed-off public street;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;SNAP;Accept EBT at a central location;;,1,1,0,0,0,0,Accept EBT at a central location;,1,0,,,,
300039,1/25/2021,2021,Barnegat Farmers Market,"14 Birdsall St., Barnegat, New Jersey 08005",Ocean County,New Jersey,,,,,,,,,,,,,-74.221654,39.753903,The market is location across the street from Barnegat Station 11 Firehouse,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,SNAP;Some/all market vendors will accept EBT through individual POS;;,0,1,0,0,0,0,Some/all market vendors will accept EBT through individual POS;,0,1,,,,
300040,1/25/2021,2021,Ithaca Farmers Market,"Center & Pine River Street, Ithaca, Michigan 48847",Gratiot County,Michigan,,,,,,,,,,,,,-84.598559,43.292319,Located under the pavilion,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,,0,0,,,,
300041,1/29/2021,2021,Westside Community Market,"750 University Row, Madison, Wisconsin 53705",Dane County,Wisconsin,,,,,,,,,,,,,-89.470061,43.076159,"In the parking lots behind UW Health Digestive Health Center, accessible from University Avenue and Whitney Way.",Healthcare institution;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,1,1,0,Accept EBT at a central location;,1,0,,,,
300043,1/28/2021,2021,Red Oak Farmers Market,"307 East Reed Street, Red Oak, Iowa 51566",Montgomery County,Iowa,,,,,,,,,,,,,-95.228044,41.009641,NE corner of the city square (Fountain Square Park),Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;,1,0,0,1,1,0,,0,0,,,,
300044,1/26/2021,2021,Halifax Market Place & Farmers Market,"209 South Main Street, Halifax, Virginia 24558",Halifax County,Virginia,,,,,,,,,,,,,-78.92836,36.76317,Halifax Farmers Market is located in Historic Downtown Halifax at the formers Farmers Food Grocery Store.,,Parking lot of former Farmers Food Grocery,Entire time the market is open indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,0,1,0,0,1,0,Accept EBT at a central location;,1,0,,,,
300046,1/5/2021,2021,Crystal Lake Farmers Market,"Depot Park, Woodstock & Williams Streets, Crystal Lake, Illinois 60014",McHenry County,Illinois,,,,,,,,,,,,,-88.31701,42.243752,Next to downtown train depot,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;,1,0,0,1,0,0,,0,0,,,,
300047,1/5/2021,2021,Uptown Greenville Umbrella Market,"Fifth Street and Evans Street, Greenville, North Carolina 27858",Pitt County,North Carolina,,,,,,,,,,,,,-77.373338,35.611005,Five Points Plaza,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,,0,0,,,,
300048,1/25/2021,2021,Voorheesville Farmers Market,"68 Maple Ave., Voorheesville, New York 12186",Albany County,New York,,,,,,,,,,,,,-73.930027,42.649656,upper church parking lot (parking at rear of church off Severson Hill Rd.),Faith-based institution;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,SNAP;,0,0,0,0,0,0,,0,0,,,,
300049,9/15/2020,2020,Waukon Farmers Market,"850 Rossville Road, Waukon, Iowa 52172",Allamakee County,Iowa,,,,,,,,,,,,,-91.472878,43.260191,North parking lot,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;Senior Farmers Market Nutrition Program;,1,0,0,0,1,0,,0,0,,,,
300050,1/27/2021,2021,Utica Farmers Market,"Chancellor Park, Elizabeth St., Utica, New York 13501",Oneida County,New York,,,,,,,,,,,,,-75.225983,43.096382,Chancellor Park is located on Elizabeth Street between Acadamy Street and Kent Street,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,1,1,0,Accept EBT at a central location;,1,0,,,,
300053,12/28/2020,2020,Salamanca Farmers market,"768 Broad st, Salamanca, New York 14779",Cattaraugus County,New York,,,,,,,,,,,,,-78.741263,42.164734,In front of the Bingo hall parking lot,,Casino lawn,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,0,1,0,0,1,0,Accept EBT at a central location;,1,0,,,,
300055,1/27/2021,2021,Belmont Farmers Market,"5429 State Route 19N, Belmont, New York 14813",Allegany County,New York,,,,,,,,,,,,,-78.053508,42.234077,field behind Dawny Jeans Cafe,,field behind a cafe,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,1,1,0,Accept EBT at a central location;,1,0,,,,
300057,2/12/2021,2021,Claremont Farmers & Artisans Market,"Harvard Avenue Between Bonita and First Streets, Claremont, California 91711",Los Angeles County,California,,,,,,,,,,,,,-117.71641,34.095598,"Located in front of Claremont California City Hall, On Harvard Avenue, between Bonita and First Streets. Claremont, CA 91711",Closed-off public street;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC Farmers Market;WIC;SNAP;Accept EBT at a central location;;,1,1,0,1,0,0,Accept EBT at a central location;,1,0,,,,
300063,8/3/2020,2020,Yellow Green Farmers Market,"1940 North 30th Road, Hollywood, Florida 33021",Broward County,Florida,,,,,,,,,,,,,-80.169243,26.03026,"Located right next to I95, Easy entry to our parking at 3080 Sheridan, Hollywood, FL",,Privately owned large barn structure.,Entire time the market is open indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,SNAP;Some/all market vendors will accept EBT through individual POS;;,0,1,0,0,0,0,Some/all market vendors will accept EBT through individual POS;,0,1,,,,
300075,2/1/2021,2021,Northport Farmers Market,"105 S. Bay Street, Northport, Michigan 49670",Leelanau County,Michigan,,,,,,,,,,,,,-85.614175,45.129668,Across from the marina in the village of Northport,Local government building grounds;,Downtown marina parking lot,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,0,1,0,Accept EBT at a central location;,1,0,,,,
300076,2/1/2021,2021,Suttons Bay Farmers Market,"Intersection of M22 & M204, Suttons Bay, Michigan 49682",Leelanau County,Michigan,,,,,,,,,,,,,-85.647075,44.980186,Located at the North end of Suttons Bay Village at the intersection of M22 and M204,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,0,1,0,Accept EBT at a central location;,1,0,,,,
300077,2/1/2021,2021,Glen Arbor Farmers Market,"6394 Western Ave., Glen Arbor, Michigan 49636",Leelanau County,Michigan,,,,,,,,,,,,,-85.986905,44.897978,"Downtown, located behind the Village Hall building.",Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,0,1,0,Accept EBT at a central location;,1,0,,,,
300078,2/1/2021,2021,Leland Farmers Market,"River Street, Leland, Michigan 49654",Leelanau County,Michigan,,,,,,,,,,,,,-85.759459,45.022857,Located on River Street across from The Bluebird Restaurant & Tavern,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,0,1,0,Accept EBT at a central location;,1,0,,,,
300079,2/1/2021,2021,Empire Farmers Market,"10234 Front Street, Empire, Michigan 49630",Leelanau County,Michigan,,,,,,,,,,,,,-86.063056,44.811224,Downtown next to the Post Office,Federal/state government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,0,1,0,Accept EBT at a central location;,1,0,,,,
