Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES","COMMODITY TOTALS, RETAIL, HUMAN CONSUMPTION - OPERATIONS WITH SALES","COMMODITY TOTALS, OPERATIONS WITH SALES","COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $","COMMODITY TOTALS, RETAIL, HUMAN CONSUMPTION - SALES, MEASURED IN $","COMMODITY TOTALS, SALES, MEASURED IN $",Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,241000,,241000,TOTAL,NOT SPECIFIED,"241,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",15,,15,,,,TOTAL,NOT SPECIFIED,15,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,95000,,95000,TOTAL,NOT SPECIFIED,"95,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",20,,20,,,,TOTAL,NOT SPECIFIED,20,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,38000,,38000,TOTAL,NOT SPECIFIED,"38,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",24,,24,,,,TOTAL,NOT SPECIFIED,24,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,25000,,25000,TOTAL,NOT SPECIFIED,"25,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",9,,9,,,,TOTAL,NOT SPECIFIED,9,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,14000,,14000,TOTAL,NOT SPECIFIED,"14,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",6,,6,,,,TOTAL,NOT SPECIFIED,6,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,27000,,27000,TOTAL,NOT SPECIFIED,"27,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",84,,84,,,,TOTAL,NOT SPECIFIED,84,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,1009000,,1009000,TOTAL,NOT SPECIFIED,"1,009,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",12,,12,,,,TOTAL,NOT SPECIFIED,12,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,79000,,79000,TOTAL,NOT SPECIFIED,"79,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",1,,1,,,,TOTAL,NOT SPECIFIED,1,(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,, (D),,,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",14,,14,,,,TOTAL,NOT SPECIFIED,14,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,15000,,15000,TOTAL,NOT SPECIFIED,"15,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",21,,21,,,,TOTAL,NOT SPECIFIED,21,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,87000,,87000,TOTAL,NOT SPECIFIED,"87,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",15,,15,,,,TOTAL,NOT SPECIFIED,15,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,37000,,37000,TOTAL,NOT SPECIFIED,"37,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",38,,38,,,,TOTAL,NOT SPECIFIED,38,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,178000,,178000,TOTAL,NOT SPECIFIED,"178,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",7,,7,,,,TOTAL,NOT SPECIFIED,7,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,22000,,22000,TOTAL,NOT SPECIFIED,"22,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",4,,4,,,,TOTAL,NOT SPECIFIED,4,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,8000,,8000,TOTAL,NOT SPECIFIED,"8,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",6,,6,,,,TOTAL,NOT SPECIFIED,6,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,8000,,8000,TOTAL,NOT SPECIFIED,"8,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",51,,51,,,,TOTAL,NOT SPECIFIED,51,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,728000,,728000,TOTAL,NOT SPECIFIED,"728,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",43,,43,,,,TOTAL,NOT SPECIFIED,43,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,75000,,75000,TOTAL,NOT SPECIFIED,"75,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",34,,34,,,,TOTAL,NOT SPECIFIED,34,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,105000,,105000,TOTAL,NOT SPECIFIED,"105,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",12,,12,,,,TOTAL,NOT SPECIFIED,12,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,179000,,179000,TOTAL,NOT SPECIFIED,"179,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",72,,72,,,,TOTAL,NOT SPECIFIED,72,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,1546000,,1546000,TOTAL,NOT SPECIFIED,"1,546,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",53,,53,,,,TOTAL,NOT SPECIFIED,53,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,759000,,759000,TOTAL,NOT SPECIFIED,"759,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",54,,54,,,,TOTAL,NOT SPECIFIED,54,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,314000,,314000,TOTAL,NOT SPECIFIED,"314,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",24,,24,,,,TOTAL,NOT SPECIFIED,24,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,86000,,86000,TOTAL,NOT SPECIFIED,"86,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",71,,71,,,,TOTAL,NOT SPECIFIED,71,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,610000,,610000,TOTAL,NOT SPECIFIED,"610,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",31,,31,,,,TOTAL,NOT SPECIFIED,31,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,147000,,147000,TOTAL,NOT SPECIFIED,"147,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",19,,19,,,,TOTAL,NOT SPECIFIED,19,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,34000,,34000,TOTAL,NOT SPECIFIED,"34,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",18,,18,,,,TOTAL,NOT SPECIFIED,18,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,25000,,25000,TOTAL,NOT SPECIFIED,"25,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",51,,51,,,,TOTAL,NOT SPECIFIED,51,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,308000,,308000,TOTAL,NOT SPECIFIED,"308,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",29,,29,,,,TOTAL,NOT SPECIFIED,29,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,121000,,121000,TOTAL,NOT SPECIFIED,"121,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",42,,42,,,,TOTAL,NOT SPECIFIED,42,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,171000,,171000,TOTAL,NOT SPECIFIED,"171,000",(L)
